cid,name,description,url,v_count,likes
1563217563814914, 王嘉尔 , 简单描述一下你的挑战,https://www.douyin.com/share/challenge/1563217563814914 ,493,285604
1587568502841358, 蔡徐坤 , 偶像练习生   给我坤打call,https://www.douyin.com/share/challenge/1587568502841358 ,363,225247
1553304054213633, 猫 , 爱猫,https://www.douyin.com/share/challenge/1553304054213633 ,266,216035
1563931641435137, 易烊千玺 , 爱,https://www.douyin.com/share/challenge/1563931641435137 ,255,115631
1611823344632835, 捕捉身边的美好 , 什么是美好？大到爱国情怀，文化传承，小到一次关心，一个微笑，那些骄傲、感动、开心，都是值得记住的美好。,https://www.douyin.com/share/challenge/1611823344632835 ,233,31373
1552394635036673, 王者荣耀 , 捕捉王者荣耀大神,https://www.douyin.com/share/challenge/1552394635036673 ,208,1920911
1616563720912899, 单身汪的告白 , 2018年余额已不多，你还是单身……想说点啥？,https://www.douyin.com/share/challenge/1616563720912899 ,204,1021
1615390336879687, 你是魔鬼吗 , 万圣节不要糖也不要恶作剧？那么就美美地变个妆“黑化”一下。打开万圣节道具面板，选择喜欢的道具，加上“茶灰”滤镜效果，想变什么“鬼”尽管玩，被吓到算我输！,https://www.douyin.com/share/challenge/1615390336879687 ,199,5465
1575369394224141, 郑爽 , 是爽歪歪的都可以参加,https://www.douyin.com/share/challenge/1575369394224141 ,153,112056
1611566134369293, 带ta去旅行 , 听说明玉海兰察CP计划穿越到现代旅行，大家有哪些适合情侣出行打卡的约会圣地推荐给这个CP和计划趁长假出行的情侣们的呢？,https://www.douyin.com/share/challenge/1611566134369293 ,138,10432
1571243793981505, 易烊千玺, ,https://www.douyin.com/share/challenge/1571243793981505 ,120,305920
1616365533960200, 这是什么神仙道具 , 诶？这是什么神奇的特效，拍出来也太美了吧！快在热门道具里选择“年代秀”，让时光带你瞬间穿梭回到1950年，1960年，1970年……每个年代的你都是复古美丽的小姐姐小哥哥，太神奇了笔芯💗💗,https://www.douyin.com/share/challenge/1616365533960200 ,116,1283
1569445977072641, 抢镜 , 快来“抢镜”视频，与TA互动~戴耳机录制效果更好哦~选择你想要抢镜的视频，点击【分享】按键，选择【抢镜】功能开始发挥吧！,https://www.douyin.com/share/challenge/1569445977072641 ,104,12068
1569445977072641, 抢镜 , 快来挑战吧,https://www.douyin.com/share/challenge/1569445977072641 ,104,12068
1604858001283150, 我就是“控雨”有术😏 , ——“你竟然能控制雨滴和花瓣！怎么做到的！”,https://www.douyin.com/share/challenge/1604858001283150 ,90,10073
1617281533369422, 比心发射盛世美颜 , 11月22日的感恩节即将来临，快用你的盛世美颜表达感恩的心吧💗❤️💎打开热门道具面板，选择“比心变美”道具，做出比心手势，biubiu发射你的美吧～,https://www.douyin.com/share/challenge/1617281533369422 ,87,3760
1551594539613185, 萌宠 , 晒出你们的宝贝,https://www.douyin.com/share/challenge/1551594539613185 ,86,54582
1563095009253378, 汉服 , 今天你穿汉服了吗,https://www.douyin.com/share/challenge/1563095009253378 ,86,110862
1605859614608392, 谁能想到 , 谁能想到镜子里的完美男生竟然没有一米八？！谁能想到镜子里的完美女生一天会吃五顿？！,https://www.douyin.com/share/challenge/1605859614608392 ,78,87682
1563895801416706, 柯基 , 简单描述一下你的挑战,https://www.douyin.com/share/challenge/1563895801416706 ,78,13278
1584962824110093, 小星星手势舞 , 你就是我的小星星，给你我的小心心！小星星手势舞跳起来吧！,https://www.douyin.com/share/challenge/1584962824110093 ,77,25045
1608298307361800, 我有恶魔大嘴 , 大眼道具?大脸道具?接下来该大嘴道具上场了！选择【红色恶魔头】大嘴道具，张开你的大嘴，让我们瞧瞧你的嘴巴到底有多大～记得关注@抖音魔法道具，还有机会获得抖音周边哦！,https://www.douyin.com/share/challenge/1608298307361800 ,75,1346
1565077226604546, 哈士奇 , 哈士奇有多2……,https://www.douyin.com/share/challenge/1565077226604546 ,67,493434
1584332488152077, got7 , Hard Carry,https://www.douyin.com/share/challenge/1584332488152077 ,66,52213
1590031255184387, 陈立农 , 超级可爱的一个男孩子,https://www.douyin.com/share/challenge/1590031255184387 ,66,17966
1549701348199425, 王俊凯 , 王俊凯，凯！凯！凯！凯！凯！,https://www.douyin.com/share/challenge/1549701348199425 ,65,112062
1562825123600385, 金毛 , 简单描述一下你的挑战,https://www.douyin.com/share/challenge/1562825123600385 ,64,6831
1598542370355245, 蔡徐坤蔡徐坤蔡徐坤蔡徐坤蔡徐 , 披金成王，伴坤远航。我们是ikun没有任何理由，不需要任何证明。,https://www.douyin.com/share/challenge/1598542370355245 ,58,97404
1581746084596749, 石家庄 , 同城互关阿。,https://www.douyin.com/share/challenge/1581746084596749 ,57,55823
1565703679497218, 海贼王 , 简单描述一下你的挑战,https://www.douyin.com/share/challenge/1565703679497218 ,57,23925
1605672264368135, 等等我先摆好造型 , 听说某些专业模特摆拍速度惊人，一秒一个造型，甚至一秒多个造型都可以毫无压力，游刃有余~这样“光速”切动作、换造型的拍照法，你尝试过吗？,https://www.douyin.com/share/challenge/1605672264368135 ,56,78419
1604954184934407, 是时候来安排一下了 , “你有你的小虎牙，我有我的小钢牙，不是很虎，但是很钢......安排！”最近你被这样的抖音流行语——“安排！”刷屏了吗？是不是也想造出属于自己的抖音句式呢~还等什么？来跟上“安排”的队形，一起说出你的抖音体“金句”吧~,https://www.douyin.com/share/challenge/1604954184934407 ,53,83442
1612187086513288, 带团圆回家 , 海上生明月，天涯共此时。中秋团圆，你在路上，还是已经回家？与家人、爱人相守，还是坚守岗位？你的行李是一盒月饼，还是老爸喜欢的一瓶酒？,https://www.douyin.com/share/challenge/1612187086513288 ,53,5838
1612187086513288, 带团圆回家 , 海上生明月，天涯共此时。中秋团圆，你在路上，还是已经回家？与家人、爱人相守，还是坚守岗位？你的行李是一盒月饼，还是老爸喜欢的一瓶酒？,https://www.douyin.com/share/challenge/1612187086513288 ,53,5838
1600720944658436, 第五人格 , 遇到不怕监管者的求生者很无奈,https://www.douyin.com/share/challenge/1600720944658436 ,52,688300
1614747036573704, 全民pk小黄鸭 , 抖音爸爸是看到我们在玩小黄鸭了吗？居然都出贴纸了，这下好了，不用到处找鸭了，直接开拍就能玩起来，笑死我了😂,https://www.douyin.com/share/challenge/1614747036573704 ,52,385
1598009146513412, 王嘉尔王嘉尔王嘉尔 , 鸟宝宝们和jacky在哪？,https://www.douyin.com/share/challenge/1598009146513412 ,52,24062
1614747036573704, 全民pk小黄鸭 , 抖音爸爸是看到我们在玩小黄鸭了吗？居然都出贴纸了，这下好了，不用到处找小黄鸭子p图了，直接开拍就能玩起来，笑死我了😂,https://www.douyin.com/share/challenge/1614747036573704 ,52,385
1563863281278978, 英雄联盟 , 英雄联盟街舞大赛,https://www.douyin.com/share/challenge/1563863281278978 ,49,231417
1591813482110093, 90后的老年生活 , 端杯热茶捧起报纸，骑车遛弯晒晒太阳……90后的你是变成与世无争的佛系青年，还是举止越来越像爸妈模样？快来晒出你的“老年”日常吧~,https://www.douyin.com/share/challenge/1591813482110093 ,49,4047
1556856443091969, 周杰伦 , 模仿周杰伦的演唱,https://www.douyin.com/share/challenge/1556856443091969 ,49,23862
1602696558687246, 你的镜头推太近啦！ , 想拍摄一个从远处到近景的推近镜头，难道只能自己拿着手机跑过去吗？有了zoom新功能，拍摄视频的同时镜头推近不再成为难题！按住拍摄键开拍，同时向上拖动拍摄键就可实现镜头推近啦！,https://www.douyin.com/share/challenge/1602696558687246 ,46,251116
1591120392784925, 易烊千玺易烊千玺易烊千玺 , 千玺真的长大了,https://www.douyin.com/share/challenge/1591120392784925 ,46,27051
1606499688639491, 一个人的yeah , “一个人的yeah✌️，我的心，应该放在哪里？”,https://www.douyin.com/share/challenge/1606499688639491 ,46,2077
1615928013836359, 我的情话很值钱 , 这个双十一，情话讲得好，就可能不用自己还花呗，更可能成功撩到周围的小哥哥小姐姐！ ,https://www.douyin.com/share/challenge/1615928013836359 ,45,7585
1609283005182020, 三心二亿撩到你 , 你的小心心是萌是可爱？是酷炫还是帅？一年订出2亿间的美团酒店有大奖，邀你参加比心挑战！,https://www.douyin.com/share/challenge/1609283005182020 ,45,7758
1549875572241410, transition , 利用暂停变换一切可以变的东西。你的脑洞在哪里。谁是transition king ,https://www.douyin.com/share/challenge/1549875572241410 ,45,3129359
1615023372429326, 舞动广场之巅 , 谁说广场舞只属于大妈？广场舞也可以很潮流！现在苏宁就让你知道，这片广场舞都被抖音热舞承包了！11.01-11.03，使用广场舞热曲《Popsicle》和指定贴纸，跳出 “一举成名”动作元素的舞蹈，上传视频晒出你的广场舞态度。不论你是个性十足的00后，还是爱好怀旧的60后，只要你敢参与，这片广场就是你用舞蹈C位出道的地方！11.15开奖，点赞第一的用户，送出价值10000元的贵宾卡，第 2-10各送出1000元的贵宾卡（获奖用户须使用指定音乐及贴纸）。苏宁全民嘉年华，上网上街上苏宁！,https://www.douyin.com/share/challenge/1615023372429326 ,45,14526
1597522825892871, 第五人格公主抱 , 4月19日本次挑战热度前100名玩家，赠送第五人格“杰克公主抱”动作。本活动解释权归抖音所有，与Apple Inc.无关,https://www.douyin.com/share/challenge/1597522825892871 ,43,88924
1563028896350273, 法国斗牛犬 , 简单描述一下你的挑战,https://www.douyin.com/share/challenge/1563028896350273 ,42,3423
1584126611450894, exo , 喜欢exo的可以参与哦  本命灿烈伯贤.,https://www.douyin.com/share/challenge/1584126611450894 ,42,147628
1549617772481537, 薛之谦 , 薛之谦的歌~,https://www.douyin.com/share/challenge/1549617772481537 ,42,66936
