cid,name,description,url,v_count,likes
1549875572241410, transition , 利用暂停变换一切可以变的东西。你的脑洞在哪里。谁是transition king ,https://www.douyin.com/share/challenge/1549875572241410 ,50,3129436
1552394635036673, 王者荣耀 , 捕捉王者荣耀大神,https://www.douyin.com/share/challenge/1552394635036673 ,216,2161480
1600720944658436, 第五人格 , 遇到不怕监管者的求生者很无奈,https://www.douyin.com/share/challenge/1600720944658436 ,53,688333
1577862026958862, 中秋 , 备战中秋佳节，货已上架，原生态竹筒酒,https://www.douyin.com/share/challenge/1577862026958862 ,3,675009
1561584511636481, 武汉 , 简单描述一下你的挑战,https://www.douyin.com/share/challenge/1561584511636481 ,21,602095
1563863281278978, 英雄联盟 , 英雄联盟街舞大赛,https://www.douyin.com/share/challenge/1563863281278978 ,61,513989
1565077226604546, 哈士奇 , 哈士奇有多2……,https://www.douyin.com/share/challenge/1565077226604546 ,71,493751
1553304054213633, 猫 , 爱猫,https://www.douyin.com/share/challenge/1553304054213633 ,276,458694
1574635058297869, 外卖小哥 , 外卖小哥外卖日常,https://www.douyin.com/share/challenge/1574635058297869 ,3,449114
1614283532547079, 我也是只小黄鸭 , 你是不是也被C位出道的小黄鸭刷了屏！听说小黄衣和小黄鸭更配哦~快来穿上你的小黄衣跟小黄鸭一起合拍吧~,https://www.douyin.com/share/challenge/1614283532547079 ,16,437222
1558589039423489, 正能量 , 传播正能量啊！,https://www.douyin.com/share/challenge/1558589039423489 ,19,395376
1605859614608392, 谁能想到 , 谁能想到镜子里的完美男生竟然没有一米八？！谁能想到镜子里的完美女生一天会吃五顿？！,https://www.douyin.com/share/challenge/1605859614608392 ,97,386590
1605385665240078, 少儿历史 , 少年强，则国强。,https://www.douyin.com/share/challenge/1605385665240078 ,13,371510
1571243793981505, 易烊千玺, ,https://www.douyin.com/share/challenge/1571243793981505 ,137,371308
1600347043144717, 大石桥联盟 , 一群爱音乐的大石桥人,https://www.douyin.com/share/challenge/1600347043144717 ,2,340597
1597437166458884, 爸爸的私房钱 , 房间里柜子里枕头下 哪里都是爸爸藏私房钱的好地方！,https://www.douyin.com/share/challenge/1597437166458884 ,1,322193
1573347801159693, 王者荣耀, ,https://www.douyin.com/share/challenge/1573347801159693 ,1,319773
1582753721231373, 抱歉，我们不一样🙂 , 你在南方的艳阳里秀着恩爱，我在旁边被猝不及防塞了一嘴狗粮——“最讨厌和你们这些小情侣一起吃饭了（怒摔！）”,https://www.douyin.com/share/challenge/1582753721231373 ,4,318307
1554015224305665, 手控 , 00后男神,https://www.douyin.com/share/challenge/1554015224305665 ,7,316312
1563217563814914, 王嘉尔 , 简单描述一下你的挑战,https://www.douyin.com/share/challenge/1563217563814914 ,591,306148
1587568502841358, 蔡徐坤 , 偶像练习生   给我坤打call,https://www.douyin.com/share/challenge/1587568502841358 ,462,298763
1562852280441858, 一生所爱 , 有多少人，喜欢【大话西游】一句经典对白，一个故事一段情！,https://www.douyin.com/share/challenge/1562852280441858 ,16,284241
1594269244868616, 黑龙茶全民达布 , 喝茶时间，放松一下，赶走不开心。,https://www.douyin.com/share/challenge/1594269244868616 ,2,276455
